rom,
88games,'88 Games%1988%Konami%Sports/Track & Field%Suitable For All Ages
99lstwark,'99: The Last War %1985%Crux %Shoot-'Em-Up%Suitable For All Ages
99lstwar,'99: The Last War %1985%Crux %Shoot-'Em-Up%Suitable For All Ages
99lstwara,'99: The Last War %1985%Crux %Shoot-'Em-Up%Suitable For All Ages
5,5%1981%Sega%Maze%Suitable For All Ages
1on1gov,1 on 1 Government %2000%Tecmo%Sports/Basketball%Suitable For All Ages
10yard85,10-Yard Fight '85 %1985%Irem %Sports/Football%Suitable For All Ages
10yardj,10-Yard Fight %1983%Irem%Sports/Football%Suitable For All Ages
10yard,10-Yard Fight %1983%Irem%Sports/Football%Suitable For All Ages
gtmra,1000 Miglia: Great 1000 Miles Rally %1994%Kaneko%Driving%Suitable For All Ages
gtmr,1000 Miglia: Great 1000 Miles Rally %1994%Kaneko%Driving%Suitable For All Ages
cprogolf18,18 Challenge Pro Golf %1982%Data East Corporation%Sports/Golf%Suitable For All Ages
progolf,18 Holes Pro Golf %1981%Data East Corporation%Sports/Golf%Suitable For All Ages
1941j,1941: Counter Attack %1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1941u,1941: Counter Attack %1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1941,1941: Counter Attack %1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1941r1,1941: Counter Attack %1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942b,1942%1984%Capcom%Shoot-'Em-Up%Suitable For All Ages
pc_1942,1942%1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942a,1942%1984%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942abl,1942%1984%bootleg%Shoot-'Em-Up%Suitable For All Ages
1942,1942%1984%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942w,1942%1985%Capcom %Shoot-'Em-Up%Suitable For All Ages
1943kai,1943 Kai: Midway Kaisen %1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1943b,1943: Battle of Midway %1987%bootleg%Shoot-'Em-Up%Suitable For All Ages
1943ja,1943: Midway Kaisen %1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1943j,1943: Midway Kaisen %1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1943,1943: The Battle of Midway %1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1943u,1943: The Battle of Midway %1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1944j,1944: The Loop Master %2000%Eighting %Shoot-'Em-Up%Suitable For All Ages
1944d,1944: The Loop Master %2000%bootleg%Shoot-'Em-Up%Suitable For All Ages
1944,1944: The Loop Master %2000%Eighting %Shoot-'Em-Up%Suitable For All Ages
bgareggabl,1945 Part-2 %1996%bootleg%Shoot-'Em-Up%Suitable For All Ages
