"Activision Decathlon, The (USA)","Activision Decathlon, The (USA)%1984%Activision%Olympic/Sports%General Audience"
Astro Chase (USA),Astro Chase (USA)%1983%Parker Brothers%Action%General Audience
Ballblazer (USA),Ballblazer (USA)%1986%Atari%Sports%General Audience
Beamrider (USA),Beamrider (USA)%1984%Activision%Action%General Audience
BerZerk (USA),BerZerk (USA)%1983%Atari%Action%General Audience
Blue Print (USA),Blue Print (USA)%1983%CBS Electronics%Action%General Audience
Bounty Bob Strikes Back! (USA),Bounty Bob Strikes Back! (USA)%1984%Big Five Software%Action%General Audience
Buck Rogers - Planet of Zoom (USA),Buck Rogers - Planet of Zoom (USA)%1983%CBS Electronics%Action%General Audience
Carol Shaw's River Raid (USA),Carol Shaw's River Raid (USA)%1983%Activision%Action%General Audience
Castle Blast (USA) (Unl),Castle Blast (USA) (Unl)%2002%Self-Published%Shooter%General Audience
Castle Crisis (USA) (Unl),Castle Crisis (USA) (Unl)%2004%Self-Published%Action%General Audience
Centipede (USA),Centipede (USA)%1982%Atari%Action%General Audience
Choplifter! (USA),Choplifter! (USA)%1984%Atari%Action%General Audience
Congo Bongo (USA),Congo Bongo (USA)%1984%Sega%Action%General Audience
Countermeasure (USA),Countermeasure (USA)%1984%Atari%Action%General Audience
David Crane's Pitfall II - Lost Caverns (USA),David Crane's Pitfall II - Lost Caverns (USA)%1984%Activision%Platform%General Audience
Defender (USA),Defender (USA)%1983%Atari%Shooter%General Audience
Dig Dug (USA),Dig Dug (USA)%1983%Atari%Puzzle%General Audience
"Dreadnaught Factor, The (USA)","Dreadnaught Factor, The (USA)%1983%Atari%Action%General Audience"
Frogger (USA),Frogger (USA)%1983%Parker Brothers%Action%General Audience
Frogger II - Threeedeep! (USA),Frogger II - Threeedeep! (USA)%1983%Parker Bros%Action%General Audience
Galaxian (USA),Galaxian (USA)%1982%Atari%Shooter%General Audience
Gorf (USA),Gorf (USA)%1983%CBS Electronics%Action%General Audience
Gremlins (USA),Gremlins (USA)%1987%Atari%Action%General Audience
Gyruss (USA),Gyruss (USA)%1984%Parker Bros%Shooter%General Audience
H.E.R.O. (USA),H.E.R.O. (USA)%1984%Activision%Action%General Audience
James Bond 007 (USA),James Bond 007 (USA)%1984%Parker Bros%Action%General Audience
Joust (USA),Joust (USA)%1983%Atari%Platform%General Audience
Jungle Hunt (USA),Jungle Hunt (USA)%1983%Atari%Platform%General Audience
K-Razy Shoot-Out (USA),K-Razy Shoot-Out (USA)%1983%CBS Electronics%Action%General Audience
Kaboom! (USA),Kaboom! (USA)%1983%Activision%Action%General Audience
Kangaroo (USA),Kangaroo (USA)%1983%Atari%Action%General Audience
Keystone Kapers (USA),Keystone Kapers (USA)%1984%Activision%Action%General Audience
Koffi - Yellow Kopter (USA) (Unl),Koffi - Yellow Kopter (USA) (Unl)%2002%Self-Published%Shooter%General Audience
Mario Bros. (USA),Mario Bros. (USA)%1983%Atari%Platform%General Audience
MegaMania (USA),MegaMania (USA)%1983%Activision%Shooter%General Audience
Meteorites (USA),Meteorites (USA)%1984%Electra%Action%General Audience
Miner 2049er Starring Bounty Bob (USA),Miner 2049er Starring Bounty Bob (USA)%1983%Big Five Software%Action%General Audience
Missile Command (USA),Missile Command (USA)%1982%Atari%Shooter%General Audience
Montezuma's Revenge featuring Panama Joe (USA),Montezuma's Revenge featuring Panama Joe (USA)%1983%Parker Bros%Action%General Audience
Moon Patrol (USA),Moon Patrol (USA)%1983%Atari%Action%General Audience
Mountain King (USA),Mountain King (USA)%1984%CBS Electronics%Action%General Audience
Mr. Do!'s Castle (USA),Mr. Do!'s Castle (USA)%1984%Parker Bros%Action%General Audience
Ms. Pac-Man (USA),Ms. Pac-Man (USA)%1983%Atari%Action%General Audience
Pac-Man (USA),Pac-Man (USA)%1982%Atari%Action%General Audience
Pengo (USA),Pengo (USA)%1983%Atari%Action%General Audience
Pitfall! (USA),Pitfall! (USA)%1983%Activision%Platform%General Audience
Pole Position (USA),Pole Position (USA)%1983%Atari%Driving%General Audience
Popeye (USA),Popeye (USA)%1983%Parker Bros%Action%General Audience
Q-bert (USA),Q-bert (USA)%1983%Parker Brothers%Action%General Audience
Qix (USA),Qix (USA)%1982%Atari%Puzzle%General Audience
Quest for Quintana Roo (USA),Quest for Quintana Roo (USA)%1984%Sunrise Software Inc.%Action%General Audience
RealSports Baseball (USA),RealSports Baseball (USA)%1983%Atari%Baseball/Sports%General Audience
RealSports Football (USA),RealSports Football (USA)%1983%Midway%Football/Sports%General Audience
RealSports Soccer (USA),RealSports Soccer (USA)%1983%Midway%Soccer/Sports%General Audience
RealSports Tennis (USA),RealSports Tennis (USA)%1983%Atari%Sports/Tennis%General Audience
Rescue on Fractalus! (USA),Rescue on Fractalus! (USA)%1986%Atari%Action%General Audience
Robotron 2084 (USA),Robotron 2084 (USA)%1983%Atari%Shooter%General Audience
Space Dungeon (USA),Space Dungeon (USA)%1983%Atari%Action%General Audience
Space Invaders (USA),Space Invaders (USA)%1982%Atari%Shooter%General Audience
Space Shuttle - A Journey Into Space (USA),Space Shuttle - A Journey Into Space (USA)%1984%Activision%Action%General Audience
Star Raiders (USA),Star Raiders (USA)%1982%Atari%Action%General Audience
Star Trek - Strategic Operations Simulator (USA),Star Trek - Strategic Operations Simulator (USA)%1983%Sega%Action%General Audience
Star Wars - Return of the Jedi - Death Star Battle (USA),Star Wars - Return of the Jedi - Death Star Battle (USA)%1983%Parker Bros%Action%General Audience
Star Wars - The Arcade Game (USA),Star Wars - The Arcade Game (USA)%1983%Parker Bros%Action%General Audience
Super Breakout (USA),Super Breakout (USA)%1982%Atari%Action%General Audience
Super Cobra (USA),Super Cobra (USA)%1983%Parker Bros%Action%General Audience
Vanguard (USA),Vanguard (USA)%1984%Atari%Shooter%General Audience
Wizard of Wor (USA),Wizard of Wor (USA)%1981%CBS Electronics%Shooter%General Audience
Zaxxon (USA),Zaxxon (USA)%1983%Sega%Action%General Audience
Zenji (USA),Zenji (USA)%1984%Activision%Action%General Audience
Zone Ranger (USA),Zone Ranger (USA)%1984%Activision%Action%General Audience
"A.P.B. - All Points Bulletin (USA, Europe)","A.P.B. - All Points Bulletin (USA, Europe)%1991%Atari%Driving%General Audience"
"Awesome Golf (USA, Europe)","Awesome Golf (USA, Europe)%1991%Hand Made Software, Ltd.%Golf/Sports%General Audience"
"Basketbrawl (USA, Europe)","Basketbrawl (USA, Europe)%1992%Atari%Basketball/Sports%General Audience"
"Batman Returns (USA, Europe)","Batman Returns (USA, Europe)%1992%Atari%Action%General Audience"
"Battle Wheels (USA, Europe)","Battle Wheels (USA, Europe)%1992%Beyond Games%Driving%General Audience"
"Battlezone 2000 (USA, Europe)","Battlezone 2000 (USA, Europe)%1994%Atari%Action%Everyone"
"Bill & Ted's Excellent Adventure (USA, Europe)","Bill & Ted's Excellent Adventure (USA, Europe)%1989%Atari%Adventure%General Audience"
"Block Out (USA, Europe)","Block Out (USA, Europe)%1991%Atari%Puzzle%General Audience"
"Blue Lightning (USA, Europe)","Blue Lightning (USA, Europe)%1989%Epyx%Flying%General Audience"
"Bubble Trouble (USA, Europe)","Bubble Trouble (USA, Europe)%1991%Telegames, Inc.%Platform%General Audience"
"California Games (USA, Europe)","California Games (USA, Europe)%1989%Epyx%Sports%General Audience"
"Checkered Flag (USA, Europe)","Checkered Flag (USA, Europe)%1991%Atari%Driving%General Audience"
"Chip's Challenge (USA, Europe)","Chip's Challenge (USA, Europe)%1989%Epyx%Puzzle%General Audience"
"Crystal Mines II (USA, Europe)","Crystal Mines II (USA, Europe)%1990%Color Dreams%Strategy%General Audience"
"Desert Strike - Return to the Gulf (USA, Europe)","Desert Strike - Return to the Gulf (USA, Europe)%1993%Telegames, Inc.%Action%General Audience"
"Dinolympics (USA, Europe)","Dinolympics (USA, Europe)%1992%Imagitec Design, Inc.%Puzzle%General Audience"
"Dirty Larry - Renegade Cop (USA, Europe)","Dirty Larry - Renegade Cop (USA, Europe)%1992%Atari%Beat-'Em-Up%General Audience"
"Double Dragon (USA, Europe)","Double Dragon (USA, Europe)%1993%Telegames, Inc.%Beat-'Em-Up%General Audience"
"Dracula the Undead (USA, Europe)","Dracula the Undead (USA, Europe)%1991%Atari%Adventure%General Audience"
"Electrocop (USA, Europe)","Electrocop (USA, Europe)%1989%Epyx%Shooter%General Audience"
"European Soccer Challenge (USA, Europe)","European Soccer Challenge (USA, Europe)%1993%Telegames, Inc.%Soccer/Sports%General Audience"
"Fat Bobby (USA, Europe)","Fat Bobby (USA, Europe)%1997%Telegames, Inc.%Action%General Audience"
"Fidelity Ultimate Chess Challenge, The (USA, Europe)","Fidelity Ultimate Chess Challenge, The (USA, Europe)%1992%Telegames, Inc.%Board Games%General Audience"
"Gates of Zendocon, The (USA, Europe)","Gates of Zendocon, The (USA, Europe)%1993%Epyx%Shoot-'Em-Up%General Audience"
"Gauntlet - The Third Encounter (USA, Europe)","Gauntlet - The Third Encounter (USA, Europe)%1990%Epyx%Adventure%General Audience"
"Gordo 106 - The Mutated Lab Monkey (USA, Europe)","Gordo 106 - The Mutated Lab Monkey (USA, Europe)%1991%Epyx%Platform%General Audience"
"Hard Drivin' (USA, Europe)","Hard Drivin' (USA, Europe)%1991%NuFX%Driving%General Audience"
"Hockey (USA, Europe)","Hockey (USA, Europe)%1992%Alpine Studios%Hockey/Sports%General Audience"
"Hydra (USA, Europe)","Hydra (USA, Europe)%1992%NuFX%Water%General Audience"
"Ishido - The Way of Stones (USA, Europe)","Ishido - The Way of Stones (USA, Europe)%1991%California Dreams%Puzzle%General Audience"
"Jimmy Connors' Tennis (USA, Europe)","Jimmy Connors' Tennis (USA, Europe)%1993%HandMade Software%Sports/Tennis%General Audience"
"Joust (USA, Europe)","Joust (USA, Europe)%1992%Shadowsoft%Action%General Audience"
"Klax (USA, Europe)","Klax (USA, Europe)%1990%Atari%Puzzle%General Audience"
"Krazy Ace - Miniature Golf (USA, Europe)","Krazy Ace - Miniature Golf (USA, Europe)%1993%Telegames%Golf/Sports%General Audience"
"Kung Food (USA, Europe)","Kung Food (USA, Europe)%1992%Lore Games%Beat-'Em-Up%General Audience"
"Lemmings (USA, Europe)","Lemmings (USA, Europe)%1993%DMA Design Limited%Strategy%General Audience"
"Lexis (USA, Europe)","Lexis (USA, Europe)%1999%Shadowsoft%Puzzle%General Audience"
"Lynx Casino (USA, Europe)","Lynx Casino (USA, Europe)%1992%Atari%Casino%General Audience"
"Malibu Bikini Volleyball (USA, Europe)","Malibu Bikini Volleyball (USA, Europe)%1993%HandMade Software%Sports/Volleyball%General Audience"
"Ms. Pac-Man (USA, Europe)","Ms. Pac-Man (USA, Europe)%1990%Atari%Action%General Audience"
"NFL Football (USA, Europe)","NFL Football (USA, Europe)%1992%Atari%Football/Sports%General Audience"
"Ninja Gaiden (USA, Europe)","Ninja Gaiden (USA, Europe)%1991%Tecmo%Beat-'Em-Up%General Audience"
"Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe)","Ninja Gaiden III - The Ancient Ship of Doom (USA, Europe)%1993%Tecmo%Beat-'Em-Up%General Audience"
"Pac-Land (USA, Europe)","Pac-Land (USA, Europe)%1991%Atari%Action%General Audience"
"Paperboy (USA, Europe)","Paperboy (USA, Europe)%1990%Atari%Action%General Audience"
"Pinball Jam (USA, Europe)","Pinball Jam (USA, Europe)%1992%Atari%Pinball%General Audience"
"Pit Fighter - The Ultimate Competition (USA, Europe)","Pit Fighter - The Ultimate Competition (USA, Europe)%1992%Atari%Fighter%General Audience"
"Power Factor (USA, Europe)","Power Factor (USA, Europe)%1992%HandMade Software%Action%General Audience"
"Qix (USA, Europe)","Qix (USA, Europe)%1991%Knight Technologies%Puzzle%General Audience"
Raiden (USA) (v3.0),Raiden (USA) (v3.0)%1997%Fabtek%Shoot-'Em-Up%General Audience
"Rampage (USA, Europe)","Rampage (USA, Europe)%1990%Atari%Action%General Audience"
"Rampart (USA, Europe)","Rampart (USA, Europe)%1992%Atari%Action%General Audience"
"RoadBlasters (USA, Europe)","RoadBlasters (USA, Europe)%1990%Atari%Driving%General Audience"
"Robo-Squash (USA, Europe)","Robo-Squash (USA, Europe)%1990%Atari%Sports%General Audience"
"Robotron 2084 (USA, Europe)","Robotron 2084 (USA, Europe)%1991%Shadowsoft%Shoot-'Em-Up%General Audience"
"Rygar - Legendary Warrior (USA, Europe)","Rygar - Legendary Warrior (USA, Europe)%1990%Tecmo%Platform%General Audience"
"S.T.U.N. Runner (USA, Europe)","S.T.U.N. Runner (USA, Europe)%1991%Atari%Driving%General Audience"
"Scrapyard Dog (USA, Europe)","Scrapyard Dog (USA, Europe)%1991%Creative Software Designs%Platform%General Audience"
"Shadow of the Beast (USA, Europe)","Shadow of the Beast (USA, Europe)%1992%Digital Developments%Platform%General Audience"
