5,OO5 from 1981 by Sega
10yard,10-Yard Fight from 1983 by Irem
10yard85,10-Yard Fight '85 from 1985 by Irem
10yardj,10-Yard Fight from 1983 by Irem
11beat,Eleven Beat from 1998 by Hudson
1292apvs,1292 Advanced Programmable Video System from 1976 by Radofin
1392apvs,1392 Advanced Programmable Video System from 1976 by Radofin
18w,18 Wheeler from 1979 by Midway
18w2,18 Wheeler from 1979 by Midway
18wheelr,18 Wheeler from 2000 by Sega
18wheels,18 Wheeler from 2000 by Sega
18wheelu,18 Wheeler from 2000 by Sega
1941,1941: Counter Attack from 1990 by Capcom
1941j,1941: Counter Attack from 1990 by Capcom
1941r1,1941: Counter Attack from 1990 by Capcom
1941u,1941: Counter Attack from 1990 by Capcom
1942,1942 from 1984 by Capcom
1942a,1942 from 1984 by Capcom
1942abl,1942 from 1984 by bootleg
1942b,1942 from 1984 by Capcom
1942h,1942 from 198? by hack
1942p,1942 from 1984 by bootleg
1942w,1942 from 1985 by Capcom
1943,1943: The Battle of Midway from 1987 by Capcom
1943b,1943: Battle of Midway from 1987 by bootleg
1943bj,1943: Midway Kaisen from 1987 by bootleg
1943j,1943: Midway Kaisen from 1987 by Capcom
1943ja,1943: Midway Kaisen from 1987 by Capcom
1943kai,1943 Kai: Midway Kaisen from 1987 by Capcom
1943u,1943: The Battle of Midway from 1987 by Capcom
1943ua,1943: The Battle of Midway from 1987 by Capcom
1944,1944: The Loop Master from 2000 by Eighting
1944d,1944: The Loop Master from 2000 by bootleg
1944j,1944: The Loop Master from 2000 by Eighting
1945kiii,1945k III from 2000 by Oriental Soft
19in1,19 in 1 MAME bootleg from 2004 by bootleg
19xx,19XX: The War Against Destiny from 1996 by Capcom
19xxa,19XX: The War Against Destiny from 1996 by Capcom
19xxar1,19XX: The War Against Destiny from 1996 by Capcom
19xxb,19XX: The War Against Destiny from 1996 by Capcom
19xxd,19XX: The War Against Destiny from 1996 by bootleg
19xxh,19XX: The War Against Destiny from 1996 by Capcom
19xxj,19XX: The War Against Destiny from 1996 by Capcom
19xxjr1,19XX: The War Against Destiny from 1996 by Capcom
19xxjr2,19XX: The War Against Destiny from 1996 by Capcom
1on1gov,1 on 1 Government from 2000 by Tecmo
2020bb,2020 Super Baseball from 1991 by SNK
2020bba,2020 Super Baseball from 1991 by SNK
2020bbh,2020 Super Baseball from 1991 by SNK
20pacgal,Ms. Pac-Man from 2000 by Namco
20pacgalr0,Ms. Pac-Man from 2000 by Namco
20pacgalr1,Ms. Pac-Man from 2000 by Namco
20pacgalr2,Ms. Pac-Man from 2000 by Namco
20pacgalr3,Ms. Pac-Man from 2000 by Namco
20pacgalr4,Ms. Pac-Man from 2000 by Namco
22vp931,Phillips 22VP931
22vp932,Phillips 22VP932
24_130,24 v1.30 from 2009 by Stern
24_140,24 v1.40 from 2009 by Stern
24_144,24 v1.44 from 2009 by Stern
24_150,24 v1.50 from 2009 by Stern
24cdjuke,Midcoin Juke Box 24CD from 1988 by Midcoin
25pacman,Pac-Man - 25th Anniversary Edition from 2006 by Namco
25pacmano,Pac-Man - 25th Anniversary Edition from 2005 by Namco
2804,Parallel EEPROM 2804
280zzzap,280-ZZZAP from 1976 by Dave Nutting Associates
2816,Parallel EEPROM 2816
2864,Parallel EEPROM 2864
2mindril,Two Minute Drill from 1993 by Taito
2spicy,2 Spicy from 2007 by Sega
30test,30 Test from 1997 by Namco
315-5641_pcm,315-5641 PCM
315_5296,Sega 315-5296 I
32x,Genesis with 32X from 1994 by Sega
32x_mcd,Mega-CD with 32X from 1995 by Sega
32x_mcdj,Mega-CD with 32X from 1994 by Sega
32x_scd,Sega CD with 32X from 1994 by Sega
32xe,Mega Drive with 32X from 1994 by Sega
32xj,Mega Drive with 32X from 1994 by Sega
386i,386i from 1990 by Convergent Technologies
39in1,39 in 1 MAME bootleg from 2004 by bootleg
3b1,3B1 from 1985 by AT&T
3bagflnz,3 Bags Full from 1996 by Aristocrat
3bagflvt,3 Bags Full from 1996 by Aristocrat
3c505,3Com 3C505 Network Adaptor
3countb,3 Count Bout from 1993 by SNK
3do,3DO from 1991 by The 3DO Company
3do_m2,3DO M2 from 199? by 3DO
3do_pal,3DO from 1991 by The 3DO Company
3dobios,3DO Bios from 1991 by The 3DO Company
3in1semi,New HyperMan from 1998 by SemiCom
3kokushi,Sankokushi from 1996 by Mitchell
3lilpigs,3 Lil' Pigs from 199? by Doyle & Assoc.
3on3dunk,3 On 3 Dunk Madness from 1996 by Video System Co.
3stooges,The Three Stooges In Brides Is Brides from 1984 by Mylstar
3stoogesa,The Three Stooges In Brides Is Brides from 1984 by Mylstar
3super8,3 Super 8 from 1993?
3wishrd,Three Wishes Red from 2002 by Atronic
3wonders,Three Wonders from 1991 by Capcom
3wondersb,Three Wonders from 1991 by bootleg
3wondersh,Three Wonders from 1991 by bootleg
3wondersr1,Three Wonders from 1991 by Capcom
3wondersu,Three Wonders from 1991 by Capcom
3x3puzzl,3X3 Puzzle from 1998 by Ace Enterprise
3x3puzzla,3X3 Puzzle from 1998 by Ace Enterprise
4004clk,4004 Nixie Clock from 2008 by John L. Weinrich
40105,40105
40love,Forty-Love from 1984 by Taito 
47pie2,Idol Janshi Su-Chi-Pie 2 from 1994 by Jaleco
47pie2o,Idol Janshi Su-Chi-Pie 2 from 1994 by Jaleco
48in1,48 in 1 MAME bootleg from 2004 by bootleg
48in1a,48 in 1 MAME bootleg from 2004 by bootleg
48in1b,48 in 1 MAME bootleg from 2004 by bootleg
4dwarrio,4-D Warriors from 1985 by Coreland
4enlinea,Cuatro en Linea from 1991 by Compumatic
4enlinea_cga,ISA8_CGA_4ENLINEA
4enraya,4 En Raya from 1990 by IDSA
4enrayaa,4 En Raya from 1990 by IDSA
4in1,4 Fun in 1 from 1981 by Armenia
4in1a,4 in 1 MAME bootleg from 2004 by bootleg
4in1b,4 in 1 MAME bootleg from 2004 by bootleg
4in1boot,Puzzle King from 2002 by K1 Soft
4psimasy,Mahjong 4P Simasyo from 1994 by Sphinx
